,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,latitude,longitude,region_id,province_id,province_name
284041,10-03-2010,20.0,26.6,23.2,88.0,32.0,0.4,2.0,45.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284042,11-03-2010,20.0,27.4,22.8,88.0,6.7,2.7,2.0,45.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284043,12-03-2010,20.0,27.0,22.6,88.0,44.5,1.9,3.0,225.0,2.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284044,13-03-2010,19.0,28.0,22.3,87.0,8.5,4.5,2.0,45.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284045,14-03-2010,20.0,28.0,22.9,87.0,0.3,2.3,3.0,270.0,1.0,S ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284046,15-03-2010,19.0,27.7,22.7,86.0,10.0,3.0,2.0,90.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284047,16-03-2010,19.0,26.4,21.8,88.0,5.0,3.6,4.0,360.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284048,17-03-2010,20.0,27.9,22.6,88.0,0.3,2.8,5.0,90.0,3.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284049,18-03-2010,20.0,27.9,22.7,88.0,47.7,4.0,2.0,90.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284050,19-03-2010,20.0,28.6,23.4,85.0,6.6,4.9,3.0,180.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284051,20-03-2010,20.0,29.0,23.0,88.0,94.0,4.8,3.0,90.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284052,21-03-2010,19.0,27.6,22.7,89.0,21.1,2.0,3.0,45.0,1.0,N ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284053,22-03-2010,20.0,30.4,23.7,84.0,18.0,6.0,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284054,23-03-2010,20.0,28.8,23.5,86.0,3.5,5.0,3.0,270.0,2.0,SW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284055,24-03-2010,20.0,31.0,24.6,83.0,20.0,7.5,3.0,90.0,2.0,E ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284056,25-03-2010,20.0,30.4,24.6,81.0,2.0,6.9,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
